src_id	rapport_titel	vergaderjaar	datum	doc_url	commissie	commissie_score	n_woorden	n_unieke_woorden	ttr	hapax_ratio	gem_zinslengte	n_nominalisaties	ratio_nominalisaties	formele_taal_ratio	n_afkortingen	ratio_afkortingen	n_vragen	n_unieke_antwoorden	n_verwijzingen	ratio_verwijzingen	gem_vraaglengte	gem_antwoordlengte	antwoord_vraag_ratio	vraag_ttr	n_ext_verwijzingen
rekenkamer__kamerstuk:2017:06:12:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-financien	Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van Financiën en Nationale Schuld	2016-2017	12 juni 2017	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2017/06/12/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-financien/Beantwoording_vragen_Tweede_Kamer_over_de_Resultaten_verantwoordingsonderzoek_2016_bij_het_Ministerie_van_Financien.pdf	Vaste commissie voor Financiën	86.7	2435	678	0.2784	0.5841	23.91	89	3.66	0.4144	59	2.42	17	14	3	0.1765	19.29	117.86	6.11	0.873	1
rekenkamer__kamerstuk:2017:06:12:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-de-staat-van-de-rijksverantwoording				https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2017/06/12/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-de-staat-van-de-rijksverantwoording/Beantwoording_vragen_Tweede_Kamer_over_het_rapport_Staat_van_de_rijksverantwoording_2016.pdf	Vaste commissie voor Financiën	86.7	3980	1047	0.2631	0.5731	20.83	213	5.35	0.4116	79	1.98	0	0	0	0.0	0.0	0.0	0.0	0.0	0
rekenkamer__kamerstuk:2017:06:12:beantwoording-vragen-tweede-kamer-over-het-rapport-bij-de-nationale-verklaring-2017	Beantwoording vragen Tweede Kamer over het Rapport bij de Nationale verklaring 2017	2017	12 juni 2017	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2017/05/17/beantwoording-vragen-tweede-kamer-over-het-rapport-bij-de-nationale-verklaring-2017/Beantwoording_vragen_Tweede_Kamer_over_het_rapport_Nationale_Verklaring_2017.pdf	Vaste commissie voor Financiën	88.9	818	323	0.3949	0.644	24.4	46	5.62	0.3888	47	5.75	3	3	0	0.0	39.0	189.33	4.855	0.8217	0
rekenkamer__kamerstuk:2017:06:13:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-bzk	Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van BZK	<UNKNOWN>	13 juni 2017	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2017/06/13/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-bzk/Beantwoording_vragen_Tweede_Kamer_over_de_Resultaten_verantwoordingsonderzoek_2016_bij_het_Ministerie_van_BZK.pdf	Vaste commissie voor Binnenlandse Zaken	89.7	2261	647	0.2862	0.5564	24.89	111	4.91	0.4131	75	3.32	7	7	0	0.0	83.86	202.29	2.412	0.7541	5
rekenkamer__kamerstuk:2017:06:13:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-vws	Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij het Ministerie van VWS	<UNKNOWN>	13 juni 2017	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2017/06/13/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-bij-het-ministerie-van-vws/Beantwoording_vragen_Tweede_Kamer_over_de_Resultaten_verantwoordingsonderzoek_2016_bij_het_Ministerie_van_VWS.pdf		0.0	2083	588	0.2823	0.5867	22.6	75	3.6	0.3826	69	3.31	15	12	3	0.2	44.0	69.5	1.58	0.8333	0
rekenkamer__kamerstuk:2017:06:13:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-wonen-en-rijksdienst	Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2016 bij Wonen en Rijksdienst	2016-2017	13 juni 2017	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2017/06/13/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2016-wonen-en-rijksdienst/Beantwoording_vragen_Tweede_Kamer_over_de_Resultaten_verantwoordingsonderzoek_2016_bij_Wonen_en_Rijksdienst.pdf	Vaste commissie voor Wonen en Ruimtelijke Ordening	72.9	764	285	0.373	0.6105	20.5	28	3.66	0.3639	30	3.93	7	6	1	0.1429	27.57	73.17	2.654	0.7705	2
rekenkamer__kamerstuk:2018:04:23:beantwoording-vragen-tweede-kamer-bij-rapport-vastgoed-universiteiten	Beantwoording vragen Tweede Kamer bij rapport Vastgoed universiteiten	2017-2018	23 april 2018	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/04/23/beantwoording-vragen-tweede-kamer-bij-rapport-vastgoed-universiteiten/Beantwoording_vragen_Tweede_Kamer_bij_rapport_Vastgoed_universiteiten.pdf	Vaste commissie voor Defensie	67.9	2415	764	0.3164	0.6217	18.87	111	4.6	0.4414	93	3.85	22	21	1	0.0455	18.05	80.86	4.48	0.9262	0
rekenkamer__kamerstuk:2018:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-economische-zaken-commissie-ezk	Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Economische Zaken	<UNKNOWN>	5 juni 2018	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/06/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-economische-zaken-commissie-ezk/Beantwoording_kamervragen_VO2017_EZ_commissie_EZK.pdf	Vaste commissie voor Economische Zaken en Klimaat	91.8	651	278	0.427	0.6583	22.63	29	4.45	0.4409	24	3.69	6	6	0	0.0	19.67	61.5	3.127	0.8736	0
rekenkamer__kamerstuk:2018:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-economische-zaken-commissie-lnv				https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/06/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-economische-zaken-commissie-lnv/Beantwoording_kamervragen_VO2017_EZ_commissie%2BLNV.pdf	Vaste commissie voor Financiën	100.0	1	1	1.0	1.0	0.0	0	0.0	0.0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	0.0	0
rekenkamer__kamerstuk:2018:06:05:beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-financien-en-nationale-schuld	Beantwoording vragen Tweede Kamer over de Resultaten verantwoordingsonderzoek 2017 bij het Ministerie van Financiën en Nationale Schuld	2017-2018	5 juni 2018	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2018/06/06/beantwoording-vragen-tweede-kamer-over-de-resultaten-verantwoordingsonderzoek-2017-bij-het-ministerie-van-financien-en-nationale-schuld/Beantwoording_kamervragen_VO2017_Financien.pdf	Vaste commissie voor Financiën	86.7	2130	595	0.2793	0.5546	23.56	95	4.46	0.4202	34	1.6	16	16	0	0.0	30.0	86.69	2.89	0.837	2
