Id,Titel,Nummer,Toevoeging,HoogsteVolgnummer,Kamer,Verwijderd
2dac8731-4897-4bc9-8ab1-00c302c5e7ba,Wijziging van de Wet op de internationale bijstandsverlening bij de heffing van belastingen en de Wet minimumbelasting 2024 in verband met de implementatie van Richtlijn (EU) van de Raad van 14 april 2025 tot wijziging van Richtlijn 2011/16/EU betreffende de administratieve samenwerking op het gebied van de belastingen (Wet implementatie EU-richtlijn gegevensuitwisseling minimumbelasting),36818.0,,6.0,Tweede Kamer,False
873c8b78-2293-452e-8c15-00dcb21968a0,"Wijziging van de Wet goed verhuurderschap, Boek 7 van het Burgerlijk Wetboek, de Uitvoeringswet huurprijzen woonruimte en enige andere wetten in verband met de regulering van huurprijzen en de bescherming van rechten van huurders (Wet betaalbare huur)",36496.0,,74.0,Tweede Kamer,False
84a0b44a-fb90-4ce9-8007-00e1c68f6875,"Wijziging van de Wet op het kindgebonden budget tot intensivering van het kindgebonden budget in verband met koopkrachtondersteuning, wijziging van de Algemene Ouderdomswet en enkele andere wetten in verband met het afschaffen van de inkomensondersteuning voor AOW’ers en wijziging van de Wet tegemoetkomingen loondomein in verband met aanpassingen van het lage-inkomensvoordeel",36208.0,,13.0,Tweede Kamer,False
7db3a964-467c-47c5-a5ef-00e9617ed77a,"Wijziging van de begrotingsstaten van het Ministerie van Landbouw, Natuur en Voedselkwaliteit (XIV) en het Diergezondheidsfonds (F) voor het jaar 2024 (wijziging samenhangende met de Voorjaarsnota)",36550.0,XIV,4.0,Tweede Kamer,False
0fcfd8e4-fcb9-4245-a267-010fcda8d30e,"Jaarverslag en slotwet overige Hoge Colleges van Staat, Kabinetten van de Gouverneurs en de Kiesraad 2021",36100.0,IIB,5.0,Tweede Kamer,False
64b389bb-fb7b-4db0-94d2-011109cbbf58,"Overeenkomst tot wijziging van de op 25 november 1986 te Brussel tot stand gekomen Overeenkomst inzake de terbeschikkingstelling en exploitatie van installaties en diensten voor het luchtverkeer door EUROCONTROL in het Luchtverkeersleidingscentrum Maastricht (Overeenkomst van Maastricht); Brussel, 17 december 2020",35855.0,,2.0,Eerste Kamer en Tweede Kamer,False
12a17527-51dd-4a46-aea5-011ba3a0d598,Wijziging van de begrotingsstaat van het Ministerie van Buitenlandse Zaken (V) voor het jaar 2020 (wijziging samenhangende met de Voorjaarsnota) ,35450.0,V,3.0,Tweede Kamer,False
6ab8d9c0-0c37-4c6d-8453-0135a5275aef,NAVO,28676.0,,553.0,Tweede Kamer,False
893409e6-1225-457b-ac4a-013de3e8a64f,Natuurbeleid; een onnodig groeiend ongenoegen,30690.0,,14.0,Tweede Kamer,False
0792db2e-4e7a-4800-97d3-013e5dfe378f,Wijziging van de begrotingsstaat van de Koning (I) voor het jaar 2016 (wijziging samenhangende met de Voorjaarsnota),34485.0,I,3.0,Tweede Kamer,False
cea1c2e7-b8bb-48b1-91f2-014bee56e1b2,Ontslag en benoeming staatssecretaris van Financiën,33860.0,,2.0,Tweede Kamer,False
0c095005-8cea-4f03-8828-0151e47b08a3,Vaststelling van de begrotingsstaten van het Ministerie van Economische Zaken en Klimaat (XIII) voor het jaar 2022,35925.0,XIII,100.0,Tweede Kamer,False
346d2494-7abe-4eca-8e48-01576b347760,"EU-voorstellen: Grenzenpakket COM (2015) 670, 671, 673, 667 en 669",34382.0,,-1.0,Eerste Kamer,False
b0d5910b-bb17-4228-84cb-0158f4cfcafe,"Raamwet Adviesraden buitenlands, ontwikkelingssamenwerkings- en defensiebeleid",20585.0,,10.0,Tweede Kamer,False
6f1b495e-59b3-4b79-b19b-015f231c7697,Wijziging van de Wet op de omzetbelasting 1968 in verband met de aanpassing van de kleineondernemersregeling (Wet implementatie Richtlijn kleineondernemersregeling),36312.0,,6.0,Tweede Kamer,False
9c990c80-48b3-4fe4-baa5-01704c66e304,"Raming der voor de Tweede Kamer in 2014 benodigde uitgaven, alsmede aanwijzing en raming van de ontvangsten ",33609.0,,19.0,Tweede Kamer,False
b636b667-00a6-4e81-9163-0176265dffcb,"Verdrag tussen het Koninkrijk der Nederlanden en Saint Vincent and the Grenadines inzake de uitwisseling van informatie betreffende belastingzaken; Mexico City, 1 september 2009   ",32232.0,,3.0,Eerste Kamer en Tweede Kamer,False
4037ffef-8176-47b5-bd00-017a1985b031,"Aanpassing van wetten ter uitvoering van Verordening (EU) 2016/679 van het Europees Parlement en de Raad van 27 april 2016 betreffende de bescherming van natuurlijke personen in verband met de verwerking van persoonsgegevens en betreffende het vrije verkeer van die gegevens en tot intrekking van Richtlijn 95/46/EG (algemene verordening gegevensbescherming) (PbEU 2016, L 119) en de Uitvoeringswet Algemene verordening gegevensbescherming (Aanpassingswet Algemene verordening gegevensbescherming)",34939.0,,7.0,Tweede Kamer,False
53c0767a-a728-4632-8f54-018306dad70d,Seksuele intimidatie en geweld,34843.0,,127.0,Tweede Kamer,False
657626ff-92d2-4764-a0d7-0195f08a4de8,"Wijziging van de Algemene Ouderdomswet, de Wet inkomstenbelasting 2001 en de Wet op de loonbelasting 1964 in verband met verhoging van de leeftijd waarop recht op ouderdomspensioen ontstaat van 65 naar 66 jaar (Wet verhoging pensioenleeftijd naar 66 jaar)",32767.0,,10.0,Tweede Kamer,False
465c2634-a872-4ecb-b78d-01a561236555,Initiatiefnota van de leden Anne Mulder en Michiel van Veen over patiëntveiligheid,33497.0,,14.0,Tweede Kamer,False
8c0e0aa3-4315-40b8-b78a-01b5fcbac6fd,Wijziging van de begrotingsstaat van het provinciefonds voor het jaar 2023 (wijziging samenhangende met Miljoenennota),36435.0,C,3.0,Tweede Kamer,False
de506821-07ef-45e1-99b9-01bb7331a2f0,Planologische kernbeslissing Ruimte voor de rivier,30080.0,,90.0,Tweede Kamer,False
6f226cb6-58e5-454e-a3aa-01beaa616d3e,Jaarverslag en slotwet Mobiliteitsfonds 2023,36560.0,A,8.0,Tweede Kamer,False
cba3c55e-3c09-4e23-a5f2-01cbba0b1e49,Wijziging van de Tracéwet met het oog op de versnelling en verbetering van besluitvorming over infrastructurele projecten,32377.0,,22.0,Tweede Kamer,False
4ae4ad84-25c9-4d98-96c0-01d1930dc839,"Wijziging van de Wet op het financieel toezicht, de Wet ter voorkoming van witwassen en financieren van terrorisme, de Wet toezicht  trustkantoren 2018 en enige andere wetten in verband met het herstel van gebreken en omissies bij de implementatie van Europese regelgeving op het terrein van de financiële markten (Herstelwet financiële markten 2020)",35440.0,,8.0,Tweede Kamer,False
437995c2-a79a-40d3-beff-01d9c7df20dd,Wijziging van diverse onderwijswetten door het wijzigen van de systematiek van het in aanmerking brengen voor bekostiging van nieuwe openbare en bijzondere scholen zodat er meer ruimte is voor een nieuw onderwijsaanbod (Wet meer ruimte voor nieuwe scholen),35050.0,,59.0,Tweede Kamer,False
fc1dd016-996f-42e4-b6ab-01dc7dab6631,"Wijziging van het Verdrag inzake de verzameling, afgifte en inname van afval in de Rijn- en binnenvaart en van de Uitvoeringsregeling van dit Verdrag (Besluit CDNI 2017-I-4), Straatsburg, 22 juni 2017",35018.0,,1.0,Eerste Kamer en Tweede Kamer,False
9d21ba11-b285-408f-b695-01dcd97a3a10,Aanbeveling voor een lid van de Algemene Rekenkamer,32619.0,,2.0,Tweede Kamer,False
ce5fb967-1973-454c-8977-01f0bc6343ad,"Wijziging van de Wet luchtvaart en enkele andere wetten, houdende diverse wijzigingen met betrekking tot de luchtvaart ",31857.0,,9.0,Tweede Kamer,False
cc97073c-f960-4a02-b51a-01f37b0f0663,Vooropname 2012,33412.0,,2.0,Tweede Kamer,False
7ae2a41b-dafb-400c-abeb-01f48383019d,Evaluatie van de Wet op het financieel toezicht,32466.0,,1.0,Tweede Kamer,False
528a713e-cdcb-4755-a667-020394cff563,EU-mededeling: Het recht van vrij verkeer van EU-burgers en hun gezinsleden: vijf stappen die een verschil maken COM (2013) 837,33828.0,,-1.0,Eerste Kamer,False
de2aa7d0-79b6-42c3-bdcc-02134b70046f,"Wijziging van de Wet op het primair onderwijs, de Wet op de expertisecentra en de Wet op het voortgezet onderwijs in verband met de invoering van het vaststellen van het handelingsdeel van het ontwikkelingsperspectief na overeenstemming met de ouders",34446.0,,13.0,Tweede Kamer,False
8eaa78f0-a5dc-48d3-bbbd-021b153e1fd3,Wijziging van de begrotingsstaat van de Staten Generaal (IIA) voor het jaar 2019 (wijziging samenhangende met de Najaarsnota),35350.0,IIA,3.0,Tweede Kamer,False
2344f76b-79af-4b98-8519-022a8f609e2e,"Wijziging van de Kieswet in verband met de aanpassing van de procedure voor de vaststelling van verkiezingsuitslagen alsmede regeling van enkele andere onderwerpen in die wet, de Waterschapswet, de Mediawet 2008 en de Mediawet BES (Wet nieuwe procedure vaststelling verkiezingsuitslagen)",35489.0,,9.0,Tweede Kamer,False
1dba5566-d17f-4969-ab76-022b6defb881,"Tijdelijke wijziging van de Visserijwet 1963 in verband met de invoering van de bevoegdheid tot het treffen van bestuurlijke maatregelen
",32658.0,,27.0,Tweede Kamer,False
c811d81a-f46f-4c5b-a101-022e2860dd7e,Wijziging van de begrotingsstaten van Koninkrijksrelaties (IV) en het BES fonds (H) voor het jaar 2020 (wijziging samenhangende met de Voorjaarsnota) ,35450.0,IV,3.0,Tweede Kamer,False
4e5c61a1-2dd4-4242-9bf4-022f77c60d9c,Werkbezoek van een delegatie uit de vaste commissie voor Buitenlandse Zaken aan Saoedi-Arabië (6 juni t.m. 9 juni 2008) ,31773.0,,2.0,Tweede Kamer,False
5e7a8c36-aa83-431b-bef3-0233351dab39,"Voorstel van wet van het lid Dibi tot wijziging van de Wet op het primair onderwijs, de Wet op de expertisecentra en de Wet op het voortgezet onderwijs in verband met de invoering van media-educatie als kerndoel",31296.0,,4.0,Tweede Kamer,False
d6c7c4e9-7cce-49e4-be03-0234bf083c11,Vaststelling van de begrotingsstaten van het Ministerie van Economische Zaken (XIII) voor het jaar 2009,31700.0,XIII,67.0,Tweede Kamer,False
65fe5041-e6d3-4ca3-80d0-023a46477384,Wijziging van het Statuut voor het Koninkrijk der Nederlanden in verband met de wijziging van de staatkundige hoedanigheid van de eilandgebieden van de Nederlandse Antillen (Rijkswet wijziging Statuut in verband met de opheffing van de Nederlandse Antillen),32213.0,(R1903),47.0,Tweede Kamer,False
ec2cd31b-6a31-4036-b96c-0242166481b6,Wijziging van de begrotingsstaat van het gemeentefonds voor het jaar 2011 (wijziging samenhangende met de Najaarsnota),33090.0,B,3.0,Tweede Kamer,False
e55ff9eb-f918-405b-92a6-0258142a79a2,EU-voorstel: Voorstel voor een verordening betreffende een eengemaakte markt voor digitale diensten COM( 2020) 825,35860.0,,-1.0,Eerste Kamer,False
7b95746a-2e59-4713-9d0c-025bbb788e45,Wijziging van de begrotingsstaten van het Ministerie van Sociale Zaken en Werkgelegenheid (XV) voor het jaar 2016 (wijziging samenhangende met de Najaarsnota),34620.0,XV,5.0,Tweede Kamer,False
e407b8af-fc97-44fc-93d9-025dfc304e4e,Wijziging van de begrotingsstaat van het gemeentefonds voor het jaar 2011 (wijziging samenhangende met de Voorjaarsnota),32780.0,B,2.0,Tweede Kamer,False
ebc53a30-5079-47fe-b1e7-026539361736,"Wijziging van de begrotingsstaat van het Ministerie van Algemene Zaken (IIIA), de begrotingsstaat van het Kabinet van de Koning (IIIB) en de begrotingsstaat van de Commissie van Toezicht op de Inlichtingen  en Veiligheidsdiensten (IIIC) voor het jaar 2020 (wijziging samenhangende met de Voorjaarsnota) ",35450.0,III,3.0,Tweede Kamer,False
9fac6c36-cf29-4179-bccc-0276dfb72144,"Wijziging van de Wet op het primair onderwijs, de Wet op het primair onderwijs BES, de Wet op de expertisecentra, de Wet voortgezet onderwijs 2020 en de Wet op het hoger onderwijs en wetenschappelijk onderzoek in verband met de herziening van de wettelijke grondslagen van de kerndoelen met focus op lezen, schrijven en rekenen (Wet herziening wettelijke grondslagen kerndoelen)",36699.0,,7.0,Tweede Kamer,False
bddf9681-76f2-4408-8d38-0282bdeb701a,Structuurvisie Windenergie op land,33612.0,,85.0,Tweede Kamer,False
