date,count
1824-12-14,740
1824-12-18,394
1824-12-21,1612
1824-12-22,2306
1825-01-04,1960
1825-01-05,1399
1825-01-06,2193
1825-01-07,432
1825-01-10,886
1825-01-11,1128
1825-01-21,33
1825-01-26,1242
1825-01-27,1960
1825-01-31,307
1825-02-04,1565
1825-02-09,31
1825-02-14,608
1825-02-15,1363
1825-02-16,375
1825-02-24,164
1825-02-28,648
1825-03-01,1903
1825-03-02,986
1825-03-05,518
1825-10-20,26
1825-10-27,298
1825-11-07,381
1825-11-14,669
1825-11-17,330
1825-11-18,60
1825-11-24,27
1825-12-08,78
1825-12-13,2027
1825-12-14,2736
1825-12-15,2033
1825-12-21,272
1826-02-01,632
1826-02-02,74
1826-02-07,441
1826-02-10,1853
1826-02-11,2303
1826-02-13,1512
1826-02-14,671
1826-02-17,1765
1826-02-18,1266
1826-02-21,183
1826-02-23,599
1826-02-24,757
1826-02-25,3037
1826-02-27,3010
1826-03-04,127
1826-03-08,2775
1826-03-09,1170
1826-03-10,313
1826-03-13,556
1826-03-18,1399
1826-03-20,2488
1826-03-21,7421
1826-03-22,1688
1826-03-25,101
1826-10-17,330
1826-10-19,317
1826-10-20,657
1826-11-06,278
1826-11-13,33
1826-11-21,432
1826-11-27,709
1826-12-02,149
1826-12-15,101
1826-12-20,1745
1826-12-21,2766
1826-12-22,1496
1826-12-23,180
1826-12-26,26
1827-01-24,168
1827-01-29,713
1827-01-30,1116
1827-01-31,823
1827-02-01,2131
1827-02-02,1852
1827-02-03,2025
1827-02-21,527
1827-02-24,1663
1827-03-05,940
1827-03-15,1536
1827-03-19,1587
1827-03-20,793
1827-03-31,1061
1827-04-04,1774
1827-04-05,3525
1827-04-06,1603
1827-04-07,3207
1827-04-09,2554
1827-04-10,2820
1827-04-11,359
1827-04-23,406
1827-04-25,4109
1827-04-26,2583
1827-04-27,2111
1827-04-28,2739
1827-04-30,460
1827-05-08,55
1827-10-18,70
1827-10-19,503
1827-10-23,30
1827-11-07,87
1827-11-19,38
1827-11-22,776
1827-11-29,54
1827-12-04,279
1827-12-06,1369
1827-12-07,1935
1827-12-13,151
1827-12-17,2385
1827-12-18,2499
1827-12-19,1176
1827-12-20,769
1828-01-24,697
1828-01-29,1874
1828-01-31,729
1828-02-01,155
1828-02-06,1858
1828-02-07,1208
1828-02-08,1481
1828-02-09,806
1828-02-15,284
1828-02-20,994
1828-02-21,968
1828-02-22,795
1828-02-23,1146
1828-03-04,214
1828-03-06,347
1828-03-08,1127
1828-03-11,1444
1828-03-21,32
1828-03-24,1906
1828-03-25,581
1828-03-26,121
1828-03-27,4278
1828-03-29,362
1828-04-01,60
1828-10-21,206
1828-10-23,206
1828-10-27,2845
1828-10-28,191
1828-11-03,66
1828-11-07,69
1828-11-11,176
1828-11-24,206
1828-11-27,552
1828-11-28,1592
1828-11-29,2609
1828-12-01,1531
1828-12-02,1683
1828-12-03,316
1828-12-05,288
1828-12-09,1838
1828-12-10,832
1828-12-11,1446
1828-12-12,1029
1828-12-13,545
1828-12-18,1932
1828-12-19,1271
1828-12-20,1750
1828-12-22,1041
1828-12-23,829
1829-01-21,342
1829-02-02,283
1829-02-06,995
1829-02-07,1066
1829-02-09,741
1829-02-10,1314
1829-02-20,344
1829-02-23,2189
1829-02-24,537
1829-02-25,2071
1829-02-26,2205
1829-02-27,1141
1829-02-28,1480
1829-03-02,2275
1829-03-03,1343
1829-03-04,1412
1829-03-05,1427
1829-03-06,202
1829-03-16,680
1829-03-18,22
1829-03-21,755
1829-03-25,649
1829-04-04,209
1829-04-07,469
1829-04-09,1233
1829-04-10,3419
1829-04-11,1132
1829-04-13,1480
1829-04-23,518
1829-04-24,2122
1829-04-25,1766
1829-04-27,71
1829-04-28,848
1829-05-02,79
1829-05-05,1244
1829-05-06,779
1829-05-07,192
1829-05-08,1817
1829-05-09,560
1829-05-11,366
1829-05-12,2525
1829-05-13,2180
1829-05-14,1633
1829-05-16,155
1829-05-18,501
1829-05-19,123
1829-05-20,67
1829-10-20,85
1829-10-22,57
1829-10-24,23
1829-10-26,208
1829-10-27,1196
1829-10-28,83
1829-10-30,11
1829-11-04,65
1829-11-07,33
1829-11-10,30
1829-11-12,1108
1829-11-14,108
1829-11-16,37
1829-11-20,382
1829-11-26,1294
1829-11-27,964
1829-11-28,1143
1829-11-30,553
1829-12-01,747
1829-12-02,319
1829-12-08,310
1829-12-11,393
1829-12-12,165
1829-12-14,1754
1829-12-15,2559
1829-12-16,2480
1829-12-17,1708
1829-12-18,3124
1829-12-19,1255
1829-12-21,27
1829-12-22,4
1829-12-23,935
1829-12-24,37
1830-02-04,298
1830-02-11,218
1830-02-15,3077
1830-02-19,542
1830-02-26,224
1830-03-04,134
1830-03-08,1026
1830-03-10,827
1830-03-11,1318
1830-03-13,10
1830-03-16,2088
1830-03-17,435
1830-03-18,588
1830-03-19,441
1830-03-20,363
1830-03-22,397
1830-03-26,842
1830-03-29,311
1830-03-30,44
1830-04-01,6
1830-04-26,6
1830-05-03,60
1830-05-06,139
1830-05-07,3087
1830-05-08,1813
1830-05-10,750
1830-05-12,2765
1830-05-13,2326
1830-05-14,872
1830-05-15,906
1830-05-17,2210
1830-05-18,1578
1830-05-19,251
1830-05-21,3564
1830-05-22,174
1830-05-24,85
1830-05-25,450
1830-05-26,200
1830-05-27,691
1830-06-02,64
1830-09-03,1730
1830-09-13,82
1830-09-14,133
1830-09-15,305
1830-09-18,372
1830-09-20,382
1830-09-21,1075
1830-09-22,44
1830-09-27,42
1830-09-28,1954
1830-09-29,4406
1830-09-30,250
1830-10-02,655
1830-10-18,169
1830-10-20,70
1830-10-25,33
1830-10-26,90
1830-10-28,24
1830-11-01,19
1830-11-02,738
1830-11-03,68
1830-11-11,27
1830-11-13,1212
1830-11-16,1113
1830-11-17,139
1830-11-19,4221
1830-11-25,44
1830-11-26,1046
1830-11-27,87
1830-11-29,809
1830-11-30,10
1830-12-03,60
1830-12-04,982
1831-01-20,1224
1831-01-25,2125
1831-01-26,65
1831-02-02,1116
1831-03-22,556
1831-03-31,4695
1831-04-01,87
1831-04-02,98
1831-04-06,22
1831-04-07,12
1831-04-09,3691
1831-04-28,197
1831-05-05,33
1831-05-18,30
1831-05-19,650
1831-05-24,2374
1831-05-25,25
1831-05-30,101
1831-05-31,33
1831-06-02,4880
1831-06-03,2455
1831-06-07,135
1831-06-09,3985
1831-06-11,97
1831-06-16,174
1831-06-20,1455
1831-06-21,141
1831-06-23,8094
1831-08-05,158
1831-08-07,7
1831-08-08,280
1831-08-09,39
1831-08-11,202
1831-10-15,98
1831-10-21,690
1831-10-24,28
1831-10-26,126
1831-10-28,13
1831-11-05,19
1831-11-11,168
1831-11-15,1091
1831-11-21,372
1831-11-23,1703
1831-11-25,725
1831-12-02,681
1831-12-03,465
1831-12-10,1629
1831-12-12,57
1831-12-19,1108
1831-12-22,4293
1831-12-23,6569
1831-12-24,592
1831-12-27,615
1831-12-28,3430
1831-12-29,1807
1831-12-30,5185
1831-12-31,330
1832-01-02,331
1832-01-03,3305
1832-01-04,3510
1832-02-01,7
1832-02-07,6
1832-02-09,177
1832-02-22,158
1832-03-05,1231
1832-03-07,481
1832-03-09,433
1832-03-14,781
1832-03-22,1202
1832-03-30,4759
1832-05-02,44
1832-05-11,691
1832-05-16,1149
1832-05-25,546
1832-05-28,4310
1832-05-29,3020
1832-05-30,1907
1832-06-01,699
1832-06-05,869
1832-06-07,2409
1832-06-08,1143
1832-06-09,3569
1832-06-12,2960
1832-10-13,62
1832-10-18,2
1832-10-19,528
1832-10-30,567
1832-11-06,523
1832-11-14,255
1832-11-17,5399
1832-11-24,405
1832-11-30,170
1832-12-06,192
1832-12-12,514
1832-12-14,2918
1832-12-17,2213
1832-12-18,166
1832-12-19,235
1832-12-20,105
1832-12-24,213
1832-12-26,151
1832-12-27,6941
1832-12-28,2015
1833-03-01,749
1833-03-02,1598
1833-03-07,71
1833-03-12,3447
1833-03-16,6377
1833-03-19,3338
1833-03-21,168
1833-06-05,130
1833-06-07,1079
1833-06-11,3903
1833-06-12,4749
1833-06-13,5
1833-06-17,29
1833-10-24,197
1833-10-28,560
1833-10-31,73
1833-11-22,113
1833-11-26,248
1833-12-04,659
1833-12-14,1485
1833-12-16,6421
1833-12-17,4446
1833-12-18,2684
1833-12-19,1832
1833-12-20,2122
1833-12-21,2666
1833-12-23,2150
1833-12-27,5135
1834-04-04,19
1834-04-08,399
1834-04-18,141
1834-04-21,2917
1834-04-22,422
1834-04-24,5472
1834-04-29,17
1834-10-21,89
1834-10-23,1046
1834-10-30,491
1834-11-03,140
1834-11-25,47
1834-11-29,490
1834-12-02,1706
1834-12-03,2597
